run_accession	sample_accession	fastq_ftp
SRR8215998	SAMN10450634	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8215998/SRR8215998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8215998/SRR8215998_2.fastq.gz
SRR8215999	SAMN10450636	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8215999/SRR8215999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8215999/SRR8215999_2.fastq.gz
SRR8216000	SAMN10450637	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216000/SRR8216000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216000/SRR8216000_2.fastq.gz
SRR8216001	SAMN10450616	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216001/SRR8216001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216001/SRR8216001_2.fastq.gz
SRR8216002	SAMN10450612	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216002/SRR8216002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216002/SRR8216002_2.fastq.gz
SRR8216003	SAMN10450613	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216003/SRR8216003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216003/SRR8216003_2.fastq.gz
SRR8216004	SAMN10450614	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216004/SRR8216004_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216004/SRR8216004_2.fastq.gz
SRR8216005	SAMN10450615	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216005/SRR8216005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216005/SRR8216005_2.fastq.gz
SRR8216006	SAMN10450608	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216006/SRR8216006_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216006/SRR8216006_2.fastq.gz
SRR8216007	SAMN10450609	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216007/SRR8216007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216007/SRR8216007_2.fastq.gz
SRR8216008	SAMN10450617	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216008/SRR8216008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216008/SRR8216008_2.fastq.gz
SRR8216009	SAMN10450610	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216009/SRR8216009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216009/SRR8216009_2.fastq.gz
SRR8216010	SAMN10450611	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216010/SRR8216010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216010/SRR8216010_2.fastq.gz
SRR8216011	SAMN10450645	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216011/SRR8216011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216011/SRR8216011_2.fastq.gz
SRR8216012	SAMN10450630	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216012/SRR8216012_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216012/SRR8216012_2.fastq.gz
SRR8216013	SAMN10450639	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216013/SRR8216013_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216013/SRR8216013_2.fastq.gz
SRR8216014	SAMN10450631	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216014/SRR8216014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216014/SRR8216014_2.fastq.gz
SRR8216015	SAMN10450627	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216015/SRR8216015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216015/SRR8216015_2.fastq.gz
SRR8216016	SAMN10450626	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216016/SRR8216016_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216016/SRR8216016_2.fastq.gz
SRR8216017	SAMN10450628	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216017/SRR8216017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216017/SRR8216017_2.fastq.gz
SRR8216018	SAMN10450629	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216018/SRR8216018_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216018/SRR8216018_2.fastq.gz
SRR8216019	SAMN10450619	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216019/SRR8216019_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/009/SRR8216019/SRR8216019_2.fastq.gz
SRR8216020	SAMN10450618	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216020/SRR8216020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/000/SRR8216020/SRR8216020_2.fastq.gz
SRR8216021	SAMN10450621	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216021/SRR8216021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/001/SRR8216021/SRR8216021_2.fastq.gz
SRR8216022	SAMN10450620	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216022/SRR8216022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/002/SRR8216022/SRR8216022_2.fastq.gz
SRR8216023	SAMN10450623	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216023/SRR8216023_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/003/SRR8216023/SRR8216023_2.fastq.gz
SRR8216024	SAMN10450622	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216024/SRR8216024_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/004/SRR8216024/SRR8216024_2.fastq.gz
SRR8216025	SAMN10450625	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216025/SRR8216025_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/005/SRR8216025/SRR8216025_2.fastq.gz
SRR8216026	SAMN10450624	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216026/SRR8216026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/006/SRR8216026/SRR8216026_2.fastq.gz
SRR8216027	SAMN10450635	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216027/SRR8216027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/007/SRR8216027/SRR8216027_2.fastq.gz
SRR8216028	SAMN10450632	ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216028/SRR8216028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR821/008/SRR8216028/SRR8216028_2.fastq.gz
